"","id","condition","lab"
"6A_1","1","6A","LTQ-Orbitrap_86"
"6A_2","2","6A","LTQ-Orbitrap_86"
"6A_3","3","6A","LTQ-Orbitrap_86"
"6A_4","4","6A","LTQ-OrbitrapO_65"
"6A_5","5","6A","LTQ-OrbitrapO_65"
"6A_6","6","6A","LTQ-OrbitrapO_65"
"6A_7","7","6A","LTQ-OrbitrapW_56"
"6A_8","8","6A","LTQ-OrbitrapW_56"
"6A_9","9","6A","LTQ-OrbitrapW_56"
"6B_1","1","6B","LTQ-Orbitrap_86"
"6B_2","2","6B","LTQ-Orbitrap_86"
"6B_3","3","6B","LTQ-Orbitrap_86"
"6B_4","4","6B","LTQ-OrbitrapO_65"
"6B_5","5","6B","LTQ-OrbitrapO_65"
"6B_6","6","6B","LTQ-OrbitrapO_65"
"6B_7","7","6B","LTQ-OrbitrapW_56"
"6B_8","8","6B","LTQ-OrbitrapW_56"
"6B_9","9","6B","LTQ-OrbitrapW_56"
"6C_1","1","6C","LTQ-Orbitrap_86"
"6C_2","2","6C","LTQ-Orbitrap_86"
"6C_3","3","6C","LTQ-Orbitrap_86"
"6C_4","4","6C","LTQ-OrbitrapO_65"
"6C_5","5","6C","LTQ-OrbitrapO_65"
"6C_6","6","6C","LTQ-OrbitrapO_65"
"6C_7","7","6C","LTQ-OrbitrapW_56"
"6C_8","8","6C","LTQ-OrbitrapW_56"
"6C_9","9","6C","LTQ-OrbitrapW_56"
